incident_id,date,state,city_or_county,n_killed,n_injured,congressional_district,gun_stolen,gun_type,incident_characteristics,latitude,longitude,n_guns_involved,participant_age_group,participant_gender,participant_status,participant_type,state_house_district,state_senate_district
1019625,1/1/18,New Jersey,Trenton,0,0,,0::Unknown,0::Unknown,Non-Shooting Incident||ATF/LE Confiscation/Raid/Arrest||Possession of gun by felon or prohibited person||Stolen/Illegally owned gun{s} recovered during arrest/warrant,40.2082,-74.7455,1,0::Adult 18+,0::Male,"0::Unharmed, Arrested",0::Subject-Suspect,,
1018568,1/1/18,Massachusetts,Boston,0,0,8,0::Unknown,0::Unknown,Shots Fired - No Injuries,42.3379,-71.0547,1,,,,,187,1
1018575,1/1/18,Massachusetts,Boston,0,0,8,0::Unknown,0::Unknown,Shots Fired - No Injuries,42.3324,-71.0517,1,,,,,187,1
1018492,1/1/18,California,Oakland,1,0,13,0::Unknown,0::Unknown,"Shot - Dead (murder, accidental, suicide)||Domestic Violence",37.7698,-122.204,1,0::Adult 18+||1::Adult 18+,0::Female,"0::Killed||1::Unharmed, Arrested",0::Victim||1::Subject-Suspect,18,9
1022336,1/1/18,New York,Buffalo,0,3,26,0::Unknown,0::40 SW,Shot - Wounded/Injured,42.9093,-78.8491,1,0::Adult 18+,0::Female||1::Male||2::Male,0::Injured||1::Injured||2::Injured,0::Victim||1::Victim||2::Victim,141,63
1028510,1/1/18,California,Auburn,0,0,1,0::Unknown,0::Unknown,Non-Shooting Incident||Drug involvement||Possession (gun(s) found during commission of other crimes)||Possession of gun by felon or prohibited person,38.9473,-121.102,1,0::Adult 18+,0::Male,"0::Unharmed, Arrested",0::Subject-Suspect,1,1
1020897,1/1/18,Arkansas,Little Rock,0,1,2,0::Unknown,0::Unknown,"Shot - Wounded/Injured||Institution/Group/Business||Defensive Use||Defensive Use - Crime occurs, victim shoots subject/suspect/perpetrator||Defensive Use - Stand Your Ground/Castle Doctrine established||Shootout (where VENN diagram of shooters and victims overlap)||Armed robbery with injury/death and/or evidence of DGU found",34.7204,-92.4523,1,0::Adult 18+||1::Adult 18+||2::Adult 18+,0::Male||1::Female||2::Male,"0::Unharmed||1::Injured, Arrested||2::Unharmed",0::Victim||1::Subject-Suspect||2::Subject-Suspect,30,33
1018490,1/1/18,California,Garberville,1,0,2,0::Unknown,0::Unknown,"Shot - Dead (murder, accidental, suicide)",40.1008,-123.687,1,0::Adult 18+,0::Male,0::Killed,0::Victim||1::Subject-Suspect,2,2
1018643,1/1/18,Michigan,Kalamazoo,0,0,6,0::Stolen||1::Unknown,0::Handgun||1::Handgun,Shots Fired - No Injuries||Drug involvement||ATF/LE Confiscation/Raid/Arrest||Criminal act with stolen gun||Possession (gun(s) found during commission of other crimes)||Stolen/Illegally owned gun{s} recovered during arrest/warrant,42.3034,-85.5888,2,0::Adult 18+,0::Male,"0::Unharmed, Arrested",0::Subject-Suspect,60,20
1018330,1/1/18,Ohio,Lorain,1,0,9,0::Unknown,0::9mm,"Shot - Dead (murder, accidental, suicide)||Armed robbery with injury/death and/or evidence of DGU found",41.4494,-82.176,1,0::Adult 18+||1::Adult 18+||2::Adult 18+,0::Male||1::Male||2::Male,"0::Killed||1::Unharmed, Arrested||2::Unharmed, Arrested",0::Victim||1::Subject-Suspect||2::Subject-Suspect,56,13
1018659,1/1/18,Michigan,Redford Charter Township,1,0,13,0::Unknown,0::Unknown,"Shot - Dead (murder, accidental, suicide)||Institution/Group/Business",42.4312,-83.2946,1,0::Adult 18+,0::Male,0::Killed,0::Victim,10,5
1018676,1/1/18,California,Hemet,0,1,36,0::Unknown,0::Unknown,"Shot - Wounded/Injured||Institution/Group/Business||Officer Involved Incident||Officer Involved Shooting - Shots fired, no injury||Officer Involved Shooting - subject/suspect/perpetrator surrender at standoff||Domestic Violence",33.7476,-116.978,1,0::Adult 18+||1::Adult 18+,0::Female||1::Male,"0::Injured||1::Unharmed, Arrested",0::Victim||1::Subject-Suspect,42,23
1018210,1/1/18,Michigan,Detroit,0,1,14,0::Unknown,0::Unknown,Shot - Wounded/Injured,42.4397,-83.0962,1,0::Adult 18+,0::Male,0::Injured,0::Victim,3,4
1047572,1/1/18,California,Torrance,1,1,43,0::Unknown,0::Unknown,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Drive-by (car to street, car to car)",33.8447,-118.305,1,0::Teen 12-17||1::Teen 12-17,0::Male||1::Male,0::Killed||1::Injured,0::Victim||1::Victim,64,35
1021262,1/1/18,Missouri,Holts Summit,0,0,3,0::Stolen,0::9mm,"Shots Fired - No Injuries||Officer Involved Incident||Officer Involved Shooting - Shots fired, no injury||Criminal act with stolen gun||Stolen/Illegally owned gun{s} recovered during arrest/warrant",38.6549,-92.1157,1,0::Adult 18+,0::Male,"0::Unharmed, Arrested",0::Subject-Suspect,49,10
1018965,1/1/18,Arizona,Phoenix,0,1,3,0::Unknown,0::Unknown,"Shot - Wounded/Injured||Defensive Use||Defensive Use - Crime occurs, victim shoots subject/suspect/perpetrator||Under the influence of alcohol or drugs (only applies to the subject/suspect/perpetrator )",33.4957,-112.294,1,0::Adult 18+||1::Adult 18+,0::Male||1::Male,0::Unharmed||1::Injured,0::Victim||1::Subject-Suspect,29,29
1018703,1/1/18,Texas,Houston,0,1,18,0::Unknown,0::Rifle,Shot - Wounded/Injured,29.7676,-95.3359,1,0::Adult 18+||1::Adult 18+,1::Male,0::Injured||1::Unharmed,0::Victim||1::Subject-Suspect,142,13
1019449,1/1/18,Indiana,Indianapolis,0,0,,0::Unknown,0::Unknown,Shots Fired - No Injuries,,,1,,,,,,
1019450,1/1/18,Indiana,Indianapolis,0,0,,0::Unknown,0::Unknown,Shots Fired - No Injuries,,,1,,,,,,
1018713,1/1/18,Louisiana,Shreveport,0,1,4,0::Unknown,0::Unknown,Shot - Wounded/Injured,32.4246,-93.8594,1,0::Adult 18+,0::Male,0::Injured,0::Victim,3,38
1019451,1/1/18,Indiana,Indianapolis,0,0,,0::Unknown,0::Unknown,Shots Fired - No Injuries,,,1,,,,,,
1021066,1/1/18,California,Redwood Valley,0,0,2,0::Unknown,0::Unknown,Non-Shooting Incident||Drug involvement||Under the influence of alcohol or drugs (only applies to the subject/suspect/perpetrator )||ATF/LE Confiscation/Raid/Arrest||Possession (gun(s) found during commission of other crimes),39.2548,-123.209,1,0::Adult 18+,0::Male,"0::Unharmed, Arrested",0::Subject-Suspect,2,2
1018315,1/1/18,Indiana,Indianapolis,0,0,7,0::Unknown,0::Unknown,Shots Fired - No Injuries,39.814,-86.1473,1,,,,,96,33
1018734,1/1/18,Georgia,Rossville,1,0,14,0::Unknown,0::Unknown,"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Brandishing/flourishing/open carry/lost/found",34.9406,-85.3135,1,0::Adult 18+,0::Male,0::Killed,0::Subject-Suspect,1,53
1019455,1/1/18,Oregon,Prineville,0,1,2,0::Unknown,0::Handgun,Shot - Wounded/Injured||Institution/Group/Business||Bar/club incident - in or around establishment,44.303,-120.846,1,0::Adult 18+||1::Adult 18+,0::Male||1::Male,"0::Injured||1::Unharmed, Arrested",0::Victim||1::Subject-Suspect,55,28
